uid,datetime,latitude,longitude,date,time,day_of_week,month,year
191,2018-01-10 05:52:52,-1.27306111238582,36.8129184019364,2018-01-10,05:52:52,Wednesday,January,2018
192,2018-01-10 10:47:29,-1.24437310539338,36.8664180816755,2018-01-10,10:47:29,Wednesday,January,2018
193,2018-01-10 10:59:37,-1.28995908859826,36.777075711242105,2018-01-10,10:59:37,Wednesday,January,2018
194,2018-01-11 03:06:37,-1.33143606788501,36.8885257668545,2018-01-11,03:06:37,Thursday,January,2018
195,2018-01-11 07:19:09,-1.31095331050932,36.8476114032708,2018-01-11,07:19:09,Thursday,January,2018
196,2018-01-11 07:21:11,-1.29773491051843,36.8861461032754,2018-01-11,07:21:11,Thursday,January,2018
197,2018-01-11 08:34:03,-1.23101819198802,36.8783298513453,2018-01-11,08:34:03,Thursday,January,2018
198,2018-01-11 08:46:40,-1.2355213842030601,36.8727336649102,2018-01-11,08:46:40,Thursday,January,2018
199,2018-01-11 08:47:24,-1.3233958405087,36.8052061432686,2018-01-11,08:47:24,Thursday,January,2018
200,2018-01-11 10:32:36,-1.2907229107338,36.7464014033298,2018-01-11,10:32:36,Thursday,January,2018
201,2018-01-11 11:17:07,-1.24478301088143,36.866854236923,2018-01-11,11:17:07,Thursday,January,2018
202,2018-01-11 14:29:25,-1.25641987343312,36.8552761028285,2018-01-11,14:29:25,Thursday,January,2018
203,2018-01-11 14:40:27,-1.25641987343312,36.8552761028285,2018-01-11,14:40:27,Thursday,January,2018
204,2018-01-11 14:51:55,-1.25965198009157,36.8452400900495,2018-01-11,14:51:55,Thursday,January,2018
205,2018-01-11 14:53:54,-1.25936693070694,36.843122763198,2018-01-11,14:53:54,Thursday,January,2018
206,2018-01-11 15:03:12,-1.25936693070694,36.843122763198,2018-01-11,15:03:12,Thursday,January,2018
207,2018-01-11 15:18:01,-1.25936693070694,36.843122763198,2018-01-11,15:18:01,Thursday,January,2018
208,2018-01-12 01:14:25,-1.2562189748168,36.8552681770653,2018-01-12,01:14:25,Friday,January,2018
209,2018-01-12 01:31:20,-1.2424494107931399,36.868220503353,2018-01-12,01:31:20,Friday,January,2018
210,2018-01-12 01:34:04,-1.25887001083398,36.7803900033601,2018-01-12,01:34:04,Friday,January,2018
211,2018-01-12 01:38:36,-1.25997519893869,36.8434175352992,2018-01-12,01:38:36,Friday,January,2018
212,2018-01-12 01:43:50,-1.25997519893869,36.8434175352992,2018-01-12,01:43:50,Friday,January,2018
213,2018-01-12 02:44:23,-1.2453560107806598,36.8676520033494,2018-01-12,02:44:23,Friday,January,2018
214,2018-01-12 03:23:35,-1.2452800109106499,36.76913000338129,2018-01-12,03:23:35,Friday,January,2018
215,2018-01-12 04:25:25,-1.29612840566994,36.881095623687294,2018-01-12,04:25:25,Friday,January,2018
216,2018-01-12 06:14:31,-1.27493381149678,36.8234167409223,2018-01-12,06:14:31,Friday,January,2018
217,2018-01-12 07:20:20,-1.28962559080291,36.7615651604999,2018-01-12,07:20:20,Friday,January,2018
218,2018-01-12 08:44:36,-1.2895163067331101,36.7601982852996,2018-01-12,08:44:36,Friday,January,2018
219,2018-01-12 10:27:13,-1.2825470106648,36.82723370331429,2018-01-12,10:27:13,Friday,January,2018
220,2018-01-12 11:58:18,-1.23350506412771,36.669215335433705,2018-01-12,11:58:18,Friday,January,2018
221,2018-01-12 12:01:46,-1.25641987343312,36.8552761028285,2018-01-12,12:01:46,Friday,January,2018
222,2018-01-12 13:10:04,-1.25943966838575,36.8019682986643,2018-01-12,13:10:04,Friday,January,2018
223,2018-01-12 18:39:54,-1.3298706272473302,36.8557900831397,2018-01-12,18:39:54,Friday,January,2018
225,2018-01-13 05:56:24,-1.2867784106476499,36.8256786033093,2018-01-13,05:56:24,Saturday,January,2018
227,2018-01-13 07:29:52,-1.25936693070694,36.843122763198,2018-01-13,07:29:52,Saturday,January,2018
229,2018-01-13 11:32:28,-1.30671641047409,36.8889669032628,2018-01-13,11:32:28,Saturday,January,2018
235,2018-01-14 06:50:14,-1.20361355039397,36.9173289010703,2018-01-14,06:50:14,Sunday,January,2018
236,2018-01-14 07:48:40,-1.20361355039397,36.9173289010703,2018-01-14,07:48:40,Sunday,January,2018
237,2018-01-14 11:19:25,-1.205572510452,36.9174398015152,2018-01-14,11:19:25,Sunday,January,2018
238,2018-01-14 11:32:24,-1.19121851094724,36.928620503400005,2018-01-14,11:32:24,Sunday,January,2018
239,2018-01-14 15:05:38,-1.22572351346483,36.8849485172725,2018-01-14,15:05:38,Sunday,January,2018
240,2018-01-14 15:42:29,-1.21906719968389,36.8917852095321,2018-01-14,15:42:29,Sunday,January,2018
241,2018-01-14 15:45:07,-1.27351821072345,36.8137720033303,2018-01-14,15:45:07,Sunday,January,2018
242,2018-01-14 15:46:36,-1.26032854423438,36.7708487699924,2018-01-14,15:46:36,Sunday,January,2018
243,2018-01-14 15:49:52,-1.27351821072345,36.8137720033303,2018-01-14,15:49:52,Sunday,January,2018
244,2018-01-14 16:42:10,-1.2603292718497099,36.77084896994271,2018-01-14,16:42:10,Sunday,January,2018
245,2018-01-14 17:54:09,-1.2186369542494901,36.8913614321549,2018-01-14,17:54:09,Sunday,January,2018
246,2018-01-14 18:20:20,-1.2628746694914,36.7642569376232,2018-01-14,18:20:20,Sunday,January,2018
248,2018-01-14 18:51:55,-1.26032854423438,36.7708487699924,2018-01-14,18:51:55,Sunday,January,2018
249,2018-01-14 19:07:44,-1.32282808374833,36.8026388708516,2018-01-14,19:07:44,Sunday,January,2018
250,2018-01-15 03:06:01,-1.16479210632851,36.9572803294478,2018-01-15,03:06:01,Monday,January,2018
251,2018-01-15 05:14:14,-1.33113998904449,36.7164659545534,2018-01-15,05:14:14,Monday,January,2018
252,2018-01-15 05:29:53,-1.25092509075781,36.86572735334271,2018-01-15,05:29:53,Monday,January,2018
254,2018-01-15 12:05:44,-1.33143606788501,36.8885257668545,2018-01-15,12:05:44,Monday,January,2018
255,2018-01-15 12:33:42,-1.33143606788501,36.8885257668545,2018-01-15,12:33:42,Monday,January,2018
256,2018-01-15 13:35:32,-1.29913201605588,36.7627633352296,2018-01-15,13:35:32,Monday,January,2018
257,2018-01-15 14:05:20,-1.30570898567388,36.8264403280137,2018-01-15,14:05:20,Monday,January,2018
258,2018-01-15 15:37:49,-1.1492606327835901,36.9620546012523,2018-01-15,15:37:49,Monday,January,2018
259,2018-01-17 00:09:41,-1.28089027580989,36.81678815763,2018-01-17,00:09:41,Wednesday,January,2018
260,2018-01-17 01:35:57,-1.29691499633941,36.87557309012271,2018-01-17,01:35:57,Wednesday,January,2018
261,2018-01-17 01:48:56,-1.3453435985574902,36.902495695366895,2018-01-17,01:48:56,Wednesday,January,2018
262,2018-01-17 03:56:18,-1.3193163667093302,36.8383030150389,2018-01-17,03:56:18,Wednesday,January,2018
263,2018-01-17 05:04:49,-1.33443661035642,36.8831876032289,2018-01-17,05:04:49,Wednesday,January,2018
264,2018-01-17 05:24:04,-1.2079504888559098,36.7962595350433,2018-01-17,05:24:04,Wednesday,January,2018
265,2018-01-17 07:03:16,-1.3149200609351002,36.7781355534372,2018-01-17,07:03:16,Wednesday,January,2018
266,2018-01-17 07:08:08,-1.31782632826419,36.7774232427875,2018-01-17,07:08:08,Wednesday,January,2018
267,2018-01-17 07:23:21,-1.31782632826419,36.7774232427875,2018-01-17,07:23:21,Wednesday,January,2018
268,2018-01-17 07:55:11,-1.3646631184616398,36.911642058838396,2018-01-17,07:55:11,Wednesday,January,2018
269,2018-01-17 15:33:42,-1.32995104039855,36.8665185232401,2018-01-17,15:33:42,Wednesday,January,2018
270,2018-01-17 22:06:43,-1.3074246107279,36.8231642364959,2018-01-17,22:06:43,Wednesday,January,2018
271,2018-01-18 01:31:12,-1.31360928494901,36.8069608431573,2018-01-18,01:31:12,Thursday,January,2018
272,2018-01-18 01:53:33,-1.3453435985574902,36.902495695366895,2018-01-18,01:53:33,Thursday,January,2018
273,2018-01-18 04:07:51,-1.29143601069131,36.776305003319294,2018-01-18,04:07:51,Thursday,January,2018
